Setup title,"mosfet meas2"
2,1.007564E-05
3,1.17279E-05
4,1.33626E-05
5,1.49271E-05
6,1.63863E-05
7,1.77771E-05
8,1.90903E-05
9,2.03643E-05
10,2.15811E-05
11,2.27429E-05
12,2.38756E-05
0,4.87023E-06
1,6.88104E-06
2,8.70233E-06
3,1.033381E-05
4,1.18261E-05
5,1.32189E-05
6,1.45324E-05
7,1.57931E-05
8,1.70084E-05
9,1.8217E-05
10,1.93962E-05
11,2.05298E-05
12,2.16226E-05
0,4.3103E-06
1,6.31081E-06
2,8.12619E-06
3,9.75563E-06
4,1.124779E-05
5,1.26351E-05
6,1.39482E-05
7,1.52012E-05
8,1.63991E-05
9,1.75498E-05
10,1.86574E-05
11,1.97298E-05
12,2.07865E-05
